Variable:,pr
,Annual,DJF,MAM,JJA,SON
Italy,715.47,188.91,175.75,121.26,213.14
Lombardia,942.04,222.40,245.42,206.68,263.68
Veneto,781.86,177.43,203.14,172.33,239.82
Liguria,759.07,217.19,191.33,113.70,251.15
"Valle D'aosta",1040.46,263.02,272.01,210.15,287.82
Lazio,568.37,175.78,124.81,48.25,197.64
Umbria,638.96,177.45,142.43,74.20,203.21
"Friuli-venezia Giulia",960.76,206.76,234.34,223.65,266.23
"Trentino-alto Adige",1078.10,230.46,272.69,251.52,270.17
Emilia-romagna,721.22,186.28,182.33,129.24,231.68
Toscana,644.84,184.63,147.26,81.18,217.71
Sicilia,341.41,118.57,73.00,17.20,126.40
Campania,550.90,184.62,127.67,40.34,191.41
Calabria,444.24,158.74,96.12,24.00,155.85
Sardegna,394.37,128.65,89.64,28.98,137.96
Basilicata,542.00,182.11,127.54,39.75,179.49
Puglia,557.59,183.88,134.69,49.12,178.22
Abruzzi,614.08,178.52,144.02,61.78,195.97
Piemonte,929.42,241.53,239.21,174.03,271.92
Molise,568.47,178.80,132.91,46.77,192.65
Marche,654.67,179.11,152.91,87.43,201.73
